id,rank,name,symbol,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr
ethereum-classic,27,Ethereum Classic,ETC,148620945.3704436000000000,210700000.0000000000000000,2616416420.9113646053493926,45959182.0872434622288792,17.6046277621895280,-2.5235281830907326
okb,28,OKB,OKB,60000000.0000000000000000,,2165977700.9896181100000000,525180.5310790412245783,36.0996283498269685,-1.7514833923946233
stacks,29,Stacks,STX,1484911724.1945530000000000,1818000000.0000000000000000,2050351332.0062350697091696,6927113.1891285417109368,1.3807900487272321,-5.9709865058365518
filecoin,30,Filecoin,FIL,583298187.0000000000000000,,1955498159.1299935673932461,78232121.8446129702663287,3.3524845485761703,-1.6349859216914865
crypto-com-coin,31,Crypto.com Coin,CRO,25263013692.0000000000000000,30263013692.0000000000000000,1953285461.4975631527163272,2355507.9840453194592123,0.0773179908506366,-1.5075324100266205
aave,32,Aave,AAVE,14928762.0778229900000000,,1929500187.8739375758053997,120863575.0667027329541751,129.2471658276511262,-5.6421837183492086
polygon,33,Polygon,MATIC,4697992279.1962950000000000,,1740476797.9473561040359993,69697471.9819578833631593,0.3704724687723639,-2.5021678974707915
vechain,34,VeChain,VET,80985041177.0000000000000000,86712634466.0000000000000000,1669667672.2932591817844236,14778698.4479204721265996,0.0206169886194668,-3.9203591689079514
maker,35,Maker,MKR,930668.1832967300000000,1005577.0000000000000000,1518532131.2623765954796218,16259497.1550904324910408,1631.6579405167166167,-2.6400516564979018
arweave,36,Arweave,AR,65652466.0000000000000000,66000000.0000000000000000,1375518896.9228989793334626,8795938.2032095636563931,20.9515191237888761,-1.1656508255133988
helium,37,Helium,HNT,160875441.8242133300000000,,1331181156.3909323198510817,15182840.5905521102511322,8.2746076175224932,6.9597264000702202
the-graph,38,The Graph,GRT,9548531509.1654740000000000,,1286101418.1554438545944286,8661005.9508426100773619,0.1346910168250413,-3.7193265648574500
injective-protocol,39,Injective,INJ,73005554.3300000000000000,100000000.0000000000000000,1245649006.7900018498456239,19307739.6131968294660687,17.0623868036042053,-1.2663093810648966
thorchain,40,THORChain,RUNE,335388355.0000000000000000,,1198584224.3672364611890060,28635516.9402737323763852,3.5737204542096772,-2.2623200762922706
theta,41,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,1110880927.4832315000000000,6443903.1042589083152057,1.1108809274832315,-3.3237120076507519
fantom,42,Fantom,FTM,2803634835.5265927000000000,,1073191870.4763861820794573,37768148.5167555873976997,0.3827858952518736,-3.9589559522307999
cosmos,43,Cosmos,ATOM,248453201.0000000000000000,,971185502.0922339997701529,189373640.3282449087480069,3.9089273077718729,-4.0412118392418977
algorand,44,Algorand,ALGO,8227584781.6850490000000000,,966750238.2972847238452022,20554412.3432047285701427,0.1175010970958709,-4.4175745385653448
kucoin-token,45,KuCoin Token,KCS,117906971.2884767500000000,170118638.0000000000000000,954117338.0758776830542358,423197.7921656020862585,8.0921198097904598,-1.0644075467018776
bitcoin-sv,46,Bitcoin SV,BSV,19752568.7500000000000000,,896862368.8663122543286294,7762647.2387995985205118,45.4048473501104637,-0.4460979549249738
lido-dao,47,Lido DAO,LDO,895286099.2793261000000000,,864297070.1205983949196195,1870243.5077098274563818,0.9653864511202924,-5.6089511721492652
flow,48,Flow,FLOW,1530332564.4898038000000000,,809787388.8264616751122759,12853674.2343722224760065,0.5291577841424527,-5.6249811781850381
quant,49,Quant,QNT,12072738.0000000000000000,14881364.0000000000000000,726220203.8282988553161330,1775417.2375179873650124,60.1537284937599785,-3.1643438113270403
hedera-hashgraph,50,Hedera Hashgraph,HBAR,14832756028.0000000000000000,50000000000.0000000000000000,711967212.1759299005167688,8180188.9073956093109518,0.0479996577056846,-2.8443701334415694
eos,51,EOS,EOS,1512776834.3023000000000000,2100000000.0000000000000000,700129614.0955419486701698,31927579.2930134698646922,0.4628109039086688,-0.2247931175170679
gatetoken,52,GateToken,GT,93259530.6088318700000000,,678924700.4137042187905495,860038.8316240392790281,7.2799497915273514,-1.2989886225199566
neo,53,Neo,NEO,70538831.0000000000000000,100000000.0000000000000000,662395526.8113645437697634,7011144.5811599475451847,9.3905089922934014,-2.1003381017944492
axie-infinity,54,Axie Infinity,AXS,149317180.1238724300000000,,660053416.1349253501906736,8582184.0340765154297989,4.4204787124117259,-3.2719936314475183
tezos,55,Tezos,XTZ,998595042.7281640000000000,,615582539.3880720026549489,13488099.9557870197512623,0.6164486233641808,-3.8497785607272146
elrond-egld,56,MultiversX,EGLD,24184559.1898415400000000,31415926.0000000000000000,608700478.8424950727490057,14414698.6291435276897658,25.1689714112371774,-6.2837205543626898
gala,57,Gala,GALA,34223808548.3509670000000000,,594995545.3922621186611833,19608270.8561815506675460,0.0173854275906102,-3.2493913591143855
ecash,58,eCash,XEC,19752829673090.0000000000000000,21000000000000.0000000000000000,580793808.2686170091370920,3786644.9183869755274058,0.0000294030687188,-2.2729996788875740
the-sandbox,59,The Sandbox,SAND,2336232126.2233224000000000,,569476877.9170186625340660,12488217.9240555266185635,0.2437586879851775,-3.0803140580038726
conflux-network,60,Conflux,CFX,4339692177.2000000000000000,,561370518.1772570475525308,5939786.6262329856483833,0.1293572205712197,-1.7707161071640778
akash-network,61,Akash Network,AKT,248285794.6611410000000000,388539008.0000000000000000,558188636.1002815518067616,1585520.9389898969720411,2.2481698433939571,-2.5631847288891829
nexo,62,Nexo,NEXO,560000011.0000000000000000,,542801385.5778860324158533,666278.0110049434008713,0.9692881694923503,-2.3937912160704937
trueusd,63,TrueUSD,TUSD,495601552.6100000000000000,,495202272.6616270762135954,4143936.9438160172364097,0.9991943529105787,-0.0083114335772317
decentraland,64,Decentraland,MANA,1908319865.3915880000000000,,489134928.6938520279000582,7180194.5218696900522499,0.2563170554185272,-2.8792239451930058
